awardYear,category,categoryFullName,sortOrder,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
2008,Peace,The Nobel Peace Prize,1,"$10,000,000","$10,926,573","October 10, 2008",received,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2008,833,Martti Ahtisaari,Martti Ahtisaari,Martti,Ahtisaari,Martti Ahtisaari,,male,http://masterdataapi.nobelprize.org/2/laureate/833,"June 23, 1937",Viipuri,Vyborg,Europe,Finland,Finland,"Viipuri (now Vyborg), Finland",,,,,,,,,,,,,,,,,,Individual,Finland,,,,,
2005,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$10,000,000","$11,711,430","October 3, 2005",received,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2005,790,J. Robin Warren,J. Robin Warren,J. Robin,Warren,J. Robin Warren,,male,http://masterdataapi.nobelprize.org/2/laureate/790,"June 11, 1937",Adelaide,Adelaide,Oceania,Australia,Australia,"Adelaide, Australia",,,,,,,,,,,,,,,,,,Individual,"Perth, Australia",,,,,
1988,Chemistry,The Nobel Prize in Chemistry,2,"$2,500,000","$4,645,689","October 19, 1988",received,for the determination of the three-dimensional structure of a photosynthetic reaction centre,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1988,271,Robert Huber,Robert Huber,Robert,Huber,Robert Huber,,male,http://masterdataapi.nobelprize.org/2/laureate/271,"February 20, 1937",Munich,Munich,Europe,Germany,Germany,"Munich, Germany",,,,,,,,,,,,,,,,,,Individual,,,"Max-Planck-Institut für Biochemie, Martinsried, Germany",,,
1998,Peace,The Nobel Peace Prize,1,"$7,600,000","$9,713,701","October 16, 1998",received,for their efforts to find a peaceful solution to the conflict in Northern Ireland,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1998,566,John Hume,John Hume,John,Hume,John Hume,,male,http://masterdataapi.nobelprize.org/2/laureate/566,"January 18, 1937",Londonderry,Londonderry,Europe,Northern Ireland,Northern Ireland,"Londonderry, Northern Ireland",,,,,,,,,,,,,,,,,,Individual,United Kingdom,,,,,
1986,Chemistry,The Nobel Prize in Chemistry,2,"$2,000,000","$4,098,361","October 15, 1986",received,for their contributions concerning the dynamics of chemical elementary processes,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1986,265,Yuan T. Lee,Yuan T. Lee,Yuan T.,Lee,Yuan T. Lee,,male,http://masterdataapi.nobelprize.org/2/laureate/265,"November 19, 1936",Hsinchu,Hsinchu,Asia,Taiwan,Taiwan,"Hsinchu, Taiwan",,,,,,,,,,,,,,,,,,Individual,,,"University of California, Berkeley, CA, USA",,,
2007,Chemistry,The Nobel Prize in Chemistry,1,"$10,000,000","$11,301,989","October 10, 2007",received,for his studies of chemical processes on solid surfaces,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2007,816,Gerhard Ertl,Gerhard Ertl,Gerhard,Ertl,Gerhard Ertl,,male,http://masterdataapi.nobelprize.org/2/laureate/816,"October 10, 1936",Bad Cannstatt,Bad Cannstatt,Europe,Germany,Germany,"Bad Cannstatt, Germany",,,,,,,,,,,,,,,,,,Individual,,,"Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin, Germany",,,
1998,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,"$7,600,000","$9,713,701",,received,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1998,460,Ferid Murad,Ferid Murad,Ferid,Murad,Ferid Murad,,male,http://masterdataapi.nobelprize.org/2/laureate/460,"September 14, 1936","Whiting, IN","Whiting, IN",North America,USA,USA,"Whiting, IN, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Texas Medical School at Houston, Houston, TX, USA",,,
2000,Chemistry,The Nobel Prize in Chemistry,3,"$9,000,000","$11,333,109","October 10, 2000",received,for the discovery and development of conductive polymers,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2000,731,Hideki Shirakawa,Hideki Shirakawa,Hideki,Shirakawa,Hideki Shirakawa,,male,http://masterdataapi.nobelprize.org/2/laureate/731,"August 20, 1936",Tokyo,Tokyo,Asia,Japan,Japan,"Tokyo, Japan",,,,,,,,,,,,,,,,,,Individual,,,"University of Tsukuba, Tokyo, Japan",,,
1996,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,"$7,400,000","$9,490,424","October 8, 1996",received,for their fundamental contributions to the economic theory of incentives under asymmetric information,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1996,715,James A. Mirrlees,James A. Mirrlees,James A.,Mirrlees,James A. Mirrlees,,male,http://masterdataapi.nobelprize.org/2/laureate/715,"July 5, 1936",Minnigaff,Minnigaff,Europe,Scotland,Scotland,"Minnigaff, Scotland","August 29, 2018",Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,Individual,,,"University of Cambridge, Cambridge, United Kingdom",,,
1982,Physics,The Nobel Prize in Physics,1,"$1,150,000","$3,102,518","October 18, 1982",received,for his theory for critical phenomena in connection with phase transitions,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1982,121,Kenneth G. Wilson,Kenneth G. Wilson,Kenneth G.,Wilson,Kenneth G. Wilson,,male,http://masterdataapi.nobelprize.org/2/laureate/121,"June 8, 1936","Waltham, MA","Waltham, MA",North America,USA,USA,"Waltham, MA, USA","June 15, 2013","Saco, ME","Saco, ME",North America,USA,USA,"Saco, ME, USA",,,,,,,,,,,Individual,,,"Cornell University, Ithaca, NY, USA",,,
1999,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,"$7,900,000","$10,049,186","October 11, 1999",received,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1999,461,Günter Blobel,Günter Blobel,Günter,Blobel,Günter Blobel,,male,http://masterdataapi.nobelprize.org/2/laureate/461,"May 21, 1936",Waltersdorf,Niegoslawice,Europe,Germany,Poland,"Waltersdorf, Germany (now Niegoslawice, Poland)","February 18, 2018","New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,Individual,,,"Rockefeller University, New York, NY, USA","Howard Hughes Medical Institute, N/A",,
2010,Literature,The Nobel Prize in Literature,1,"$10,000,000","$10,819,388","October 7, 2010",received,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2010,854,Mario Vargas Llosa,Mario Vargas Llosa,Mario,Vargas Llosa,Mario Vargas Llosa,,male,http://masterdataapi.nobelprize.org/2/laureate/854,"March 28, 1936",Arequipa,Arequipa,South America,Peru,Peru,"Arequipa, Peru",,,,,,,,,,,,,,,,,,Individual,,,,,,
1993,Peace,The Nobel Peace Prize,2,"$6,700,000","$9,044,276","October 15, 1993",received,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1993,556,F.W. de Klerk,F.W. de Klerk,F.W.,de Klerk,Frederik Willem de Klerk,,male,http://masterdataapi.nobelprize.org/2/laureate/556,"March 18, 1936",Johannesburg,Johannesburg,Africa,South Africa,South Africa,"Johannesburg, South Africa",,,,,,,,,,,,,,,,,,Individual,South Africa,,,,,
2008,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,"$10,000,000","$10,926,573","October 6, 2008",received,for his discovery of human papilloma viruses causing cervical cancer,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2008,823,Harald zur Hausen,Harald zur Hausen,Harald,zur Hausen,Harald zur Hausen,,male,http://masterdataapi.nobelprize.org/2/laureate/823,"March 11, 1936",Gelsenkirchen,Gelsenkirchen,Europe,Germany,Germany,"Gelsenkirchen, Germany",,,,,,,,,,,,,,,,,,Individual,,,"German Cancer Research Center, Heidelberg, Germany",,,
1989,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,"$3,000,000","$5,242,311","October 9, 1989",received,for their discovery of the cellular origin of retroviral oncogenes,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1989,440,J. Michael Bishop,J. Michael Bishop,J. Michael,Bishop,J. Michael Bishop,,male,http://masterdataapi.nobelprize.org/2/laureate/440,"February 22, 1936","York, PA","York, PA",North America,USA,USA,"York, PA, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of California School of Medicine, San Francisco, CA, USA",,,
2017,Physics,The Nobel Prize in Physics,2,"$9,000,000","$9,176,183","October 3, 2017",received,for decisive contributions to the LIGO detector and the observation of gravitational waves,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2017,942,Barry C. Barish,Barry C. Barish,Barry C.,Barish,Barry C. Barish,,male,http://masterdataapi.nobelprize.org/2/laureate/942,"January 27, 1936","Omaha, NE","Omaha, NE",North America,USA,USA,"Omaha, NE, USA",,,,,,,,,,,,,,,,,,Individual,,,"LIGO/VIRGO Collaboration, N/A","California Institute of Technology (Caltech), Pasadena, CA, USA",,
1976,Physics,The Nobel Prize in Physics,2,"$681,000","$3,342,605","October 18, 1976",received,for their pioneering work in the discovery of a heavy elementary particle of a new kind,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1976,106,Samuel C.C. Ting,Samuel C.C. Ting,Samuel C.C.,Ting,Samuel Chao Chung Ting,,male,http://masterdataapi.nobelprize.org/2/laureate/106,"January 27, 1936","Ann Arbor, MI","Ann Arbor, MI",North America,USA,USA,"Ann Arbor, MI, USA",,,,,,,,,,,,,,,,,,Individual,,,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,,
2000,Chemistry,The Nobel Prize in Chemistry,1,"$9,000,000","$11,333,109","October 10, 2000",received,for the discovery and development of conductive polymers,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2000,729,Alan Heeger,Alan Heeger,Alan,Heeger,Alan J. Heeger,,male,http://masterdataapi.nobelprize.org/2/laureate/729,"January 22, 1936","Sioux City, IA","Sioux City, IA",North America,USA,USA,"Sioux City, IA, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of California, Santa Barbara, CA, USA",,,
1978,Physics,The Nobel Prize in Physics,3,"$725,000","$2,898,454","October 17, 1978",received,for their discovery of cosmic microwave background radiation,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1978,112,Robert Woodrow Wilson,Robert Woodrow Wilson,Robert Woodrow,Wilson,Robert Woodrow Wilson,,male,http://masterdataapi.nobelprize.org/2/laureate/112,"January 10, 1936","Houston, TX","Houston, TX",North America,USA,USA,"Houston, TX, USA",,,,,,,,,,,,,,,,,,Individual,,,"Bell Laboratories, Holmdel, NJ, USA",,,
2010,Chemistry,The Nobel Prize in Chemistry,2,"$10,000,000","$10,819,388","October 6, 2010",received,for palladium-catalyzed cross couplings in organic synthesis,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2010,852,Ei-ichi Negishi,Ei-ichi Negishi,Ei-ichi,Negishi,Ei-ichi Negishi,,male,http://masterdataapi.nobelprize.org/2/laureate/852,"July 14, 1935",Changchun,Changchun,Asia,China,China,"Changchun, China",,,,,,,,,,,,,,,,,,Individual,,,"Purdue University, West Lafayette, IN, USA",,,
2015,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$8,000,000","$8,384,572",,received,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2015,917,Satoshi &#332;mura,Satoshi &#332;mura,Satoshi,&#332;mura,Satoshi &#332;mura,,male,http://masterdataapi.nobelprize.org/2/laureate/917,"July 12, 1935",Yamanashi Prefecture,Yamanashi Prefecture,Asia,Japan,Japan,"Yamanashi Prefecture, Japan",,,,,,,,,,,,,,,,,,Individual,,,"Kitasato University, Tokyo, Japan",,,
1989,Peace,The Nobel Peace Prize,1,"$3,000,000","$5,242,311","October 5, 1989",received,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1989,551,The 14th Dalai Lama,The 14th Dalai Lama,Lhamo,Thondup,The 14th Dalai Lama (Tenzin Gyatso),,male,http://masterdataapi.nobelprize.org/2/laureate/551,"July 6, 1935",Taktser,Taktser,Asia,Tibet,China,"Taktser, Tibet (now China)",,,,,,,,,,,,,,,,,,Individual,India,,,,,
2019,Physics,The Nobel Prize in Physics,1,"$9,000,000","$9,000,000","October 8, 2019",received,for theoretical discoveries in physical cosmology,for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2019,973,James Peebles,James Peebles,James,Peebles,James Peebles,,male,http://masterdataapi.nobelprize.org/2/laureate/973,"April 25, 1935",Winnipeg,Winnipeg,North America,Canada,Canada,"Winnipeg, Canada",,,,,,,,,,,,,,,,,,Individual,,,"Princeton University, Princeton, NJ, USA",,,
1994,Literature,The Nobel Prize in Literature,1,"$7,000,000","$9,249,471",,received,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1994,671,Kenzaburo Oe,Kenzaburo Oe,Kenzaburo,Oe,Kenzaburo Oe,,male,http://masterdataapi.nobelprize.org/2/laureate/671,"January 31, 1935",Uchiko,Uchiko,Asia,Japan,Japan,"Uchiko, Japan",,,,,,,,,,,,,,,,,,Individual,Japan,,,,,
1975,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,"$630,000","$3,404,179","October 16, 1975",received,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1975,408,Howard M. Temin,Howard M. Temin,Howard M.,Temin,Howard Martin Temin,,male,http://masterdataapi.nobelprize.org/2/laureate/408,"December 10, 1934","Philadelphia, PA","Philadelphia, PA",North America,USA,USA,"Philadelphia, PA, USA","February 9, 1994","Madison, WI","Madison, WI",North America,USA,USA,"Madison, WI, USA",,,,,,,,,,,Individual,,,"University of Wisconsin, Madison, WI, USA",,,
2016,Physics,The Nobel Prize in Physics,1,"$8,000,000","$8,301,051","October 4, 2016",received,for theoretical discoveries of topological phase transitions and topological phases of matter,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2016,928,David J. Thouless,David J. Thouless,David J.,Thouless,David J. Thouless,,male,http://masterdataapi.nobelprize.org/2/laureate/928,"September 21, 1934",Bearsden,Bearsden,Europe,United Kingdom,United Kingdom,"Bearsden, United Kingdom","April 6, 2019",Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,Individual,,,"University of Washington, Seattle, WA, USA",,,
2003,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,"$10,000,000","$11,807,305","October 8, 2003",received,for methods of analyzing economic time series with common trends (cointegration),,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2003,772,Clive W.J. Granger,Clive W.J. Granger,Clive W.J.,Granger,Clive W.J. Granger,,male,http://masterdataapi.nobelprize.org/2/laureate/772,"September 4, 1934",Swansea,Swansea,Europe,United Kingdom,United Kingdom,"Swansea, United Kingdom","May 27, 2009","San Diego, CA","San Diego, CA",North America,USA,USA,"San Diego, CA, USA",,,,,,,,,,,Individual,,,"University of California, San Diego, CA, USA",,,
2005,Physics,The Nobel Prize in Physics,2,"$10,000,000","$11,711,430","October 4, 2005",received,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2005,792,John L. Hall,John L. Hall,John L.,Hall,John L. Hall,,male,http://masterdataapi.nobelprize.org/2/laureate/792,"August 21, 1934","Denver, CO","Denver, CO",North America,USA,USA,"Denver, CO, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Colorado, JILA, Boulder, CO, USA","National Institute of Standards and Technology, Boulder, CO, USA",,
1986,Literature,The Nobel Prize in Literature,1,"$2,000,000","$4,098,361",,received,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1986,663,Wole Soyinka,Wole Soyinka,Wole,Soyinka,Wole Soyinka,,male,http://masterdataapi.nobelprize.org/2/laureate/663,"July 13, 1934",Abeokuta,Abeokuta,Africa,Nigeria,Nigeria,"Abeokuta, Nigeria",,,,,,,,,,,,,,,,,,Individual,Nigeria,,,,,
1990,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,3,"$4,000,000","$6,329,114","October 16, 1990",received,for their pioneering work in the theory of financial economics,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1990,706,William F. Sharpe,William F. Sharpe,William F.,Sharpe,William F. Sharpe,,male,http://masterdataapi.nobelprize.org/2/laureate/706,"June 16, 1934","Boston, MA","Boston, MA",North America,USA,USA,"Boston, MA, USA",,,,,,,,,,,,,,,,,,Individual,,,"Stanford University, Stanford, CA, USA",,,
1982,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$1,150,000","$3,102,518","October 11, 1982",received,for their discoveries concerning prostaglandins and related biologically active substances,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1982,426,Bengt I. Samuelsson,Bengt I. Samuelsson,Bengt I.,Samuelsson,Bengt I. Samuelsson,,male,http://masterdataapi.nobelprize.org/2/laureate/426,"May 21, 1934",Halmstad,Halmstad,Europe,Sweden,Sweden,"Halmstad, Sweden",,,,,,,,,,,,,,,,,,Individual,,,"Karolinska Institutet, Stockholm, Sweden",,,
1984,Physics,The Nobel Prize in Physics,1,"$1,650,000","$3,782,090","October 17, 1984",received,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1984,124,Carlo Rubbia,Carlo Rubbia,Carlo,Rubbia,Carlo Rubbia,,male,http://masterdataapi.nobelprize.org/2/laureate/124,"March 31, 1934",Gorizia,Gorizia,Europe,Italy,Italy,"Gorizia, Italy",,,,,,,,,,,,,,,,,,Individual,,,"CERN, Geneva, Switzerland",,,
2002,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,"$10,000,000","$12,034,660","October 9, 2002",received,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2002,759,Daniel Kahneman,Daniel Kahneman,Daniel,Kahneman,Daniel Kahneman,,male,http://masterdataapi.nobelprize.org/2/laureate/759,"March 5, 1934",Tel Aviv,Tel Aviv,Asia,British Mandate of Palestine,Israel,"Tel Aviv, British Mandate of Palestine (now Israel)",,,,,,,,,,,,,,,,,,Individual,,,"Princeton University, Princeton, NJ, USA",,,
1995,Chemistry,The Nobel Prize in Chemistry,1,"$7,200,000","$9,278,351","October 11, 1995",received,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1995,281,Paul J. Crutzen,Paul J. Crutzen,Paul J.,Crutzen,Paul J. Crutzen,,male,http://masterdataapi.nobelprize.org/2/laureate/281,"December 3, 1933",Amsterdam,Amsterdam,Europe,the Netherlands,the Netherlands,"Amsterdam, the Netherlands",,,,,,,,,,,,,,,,,,Individual,,,"Max-Planck-Institut für Chemie, Mainz, Germany",,,
2009,Physics,The Nobel Prize in Physics,1,"$10,000,000","$10,958,504","October 6, 2009",received,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2009,838,Charles K. Kao,Charles K. Kao,Charles K.,Kao,Charles Kuen Kao,,male,http://masterdataapi.nobelprize.org/2/laureate/838,"November 4, 1933",Shanghai,Shanghai,Asia,China,China,"Shanghai, China","September 23, 2018",Hong Kong,Hong Kong,,,,"Hong Kong, N/A",,,,,,,,,,,Individual,,,"Standard Telecommunication Laboratories, Harlow, United Kingdom","Chinese University of Hong Kong, Hong Kong, China",,
1998,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,"$7,600,000","$9,713,701","October 14, 1998",received,for his contributions to welfare economics,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1998,719,Amartya Sen,Amartya Sen,Amartya,Sen,Amartya Sen,,male,http://masterdataapi.nobelprize.org/2/laureate/719,"November 3, 1933",Santiniketan,Santiniketan,Asia,India,India,"Santiniketan, India",,,,,,,,,,,,,,,,,,Individual,,,"Trinity College, Cambridge, United Kingdom",,,
2003,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$10,000,000","$11,807,305","October 6, 2003",received,for their discoveries concerning magnetic resonance imaging,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2003,765,Sir Peter Mansfield,Sir Peter Mansfield,Sir Peter,Mansfield,Sir Peter Mansfield,,male,http://masterdataapi.nobelprize.org/2/laureate/765,"October 9, 1933",London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom","February 8, 2017",,,,,,N/A,,,,,,,,,,,Individual,,,"University of Nottingham, School of Physics and Astronomy, Nottingham, United Kingdom",,,
2012,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,"$8,000,000","$8,361,204",,received,for the discovery that mature cells can be reprogrammed to become pluripotent,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2012,874,Sir John B. Gurdon,Sir John B. Gurdon,Sir John B.,Gurdon,Sir John B. Gurdon,,male,http://masterdataapi.nobelprize.org/2/laureate/874,"October 2, 1933",Dippenhall,Dippenhall,Europe,United Kingdom,United Kingdom,"Dippenhall, United Kingdom",,,,,,,,,,,,,,,,,,Individual,,,"Gurdon Institute, Cambridge, United Kingdom",,,
1996,Chemistry,The Nobel Prize in Chemistry,1,"$7,400,000","$9,490,424","October 9, 1996",received,for their discovery of fullerenes,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1996,284,Robert F. Curl Jr.,Robert F. Curl Jr.,Robert F.,Curl Jr.,Robert F. Curl Jr.,,male,http://masterdataapi.nobelprize.org/2/laureate/284,"August 23, 1933","Alice, TX","Alice, TX",North America,USA,USA,"Alice, TX, USA",,,,,,,,,,,,,,,,,,Individual,,,"Rice University, Houston, TX, USA",,,
1991,Chemistry,The Nobel Prize in Chemistry,1,"$6,000,000","$8,673,863",,received,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1991,276,Richard R. Ernst,Richard R. Ernst,Richard R.,Ernst,Richard R. Ernst,,male,http://masterdataapi.nobelprize.org/2/laureate/276,"August 14, 1933",Winterthur,Winterthur,Europe,Switzerland,Switzerland,"Winterthur, Switzerland",,,,,,,,,,,,,,,,,,Individual,,,"Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology), Zurich, Switzerland",,,
2009,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,"$10,000,000","$10,958,504","October 12, 2009",received,"for her analysis of economic governance, especially the commons",,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2009,846,Elinor Ostrom,Elinor Ostrom,Elinor,Ostrom,Elinor Ostrom,,female,http://masterdataapi.nobelprize.org/2/laureate/846,"August 7, 1933","Los Angeles, CA","Los Angeles, CA",North America,USA,USA,"Los Angeles, CA, USA","June 12, 2012","Bloomington, IN","Bloomington, IN",North America,USA,USA,"Bloomington, IN, USA",,,,,,,,,,,Individual,,,"Indiana University, Bloomington, IN, USA","Arizona State University, Tempe, AZ, USA",,
2006,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,"$10,000,000","$11,552,680","October 9, 2006",received,for his analysis of intertemporal tradeoffs in macroeconomic policy,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2006,807,Edmund S. Phelps,Edmund S. Phelps,Edmund S.,Phelps,Edmund S. Phelps,,male,http://masterdataapi.nobelprize.org/2/laureate/807,"July 26, 1933","Evanston, IL","Evanston, IL",North America,USA,USA,"Evanston, IL, USA",,,,,,,,,,,,,,,,,,Individual,,,"Columbia University, New York, NY, USA",,,
1986,Physics,The Nobel Prize in Physics,3,"$2,000,000","$4,098,361","October 15, 1986",received,for their design of the scanning tunneling microscope,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1986,129,Heinrich Rohrer,Heinrich Rohrer,Heinrich,Rohrer,Heinrich Rohrer,,male,http://masterdataapi.nobelprize.org/2/laureate/129,"June 6, 1933",Buchs,Buchs,Europe,Switzerland,Switzerland,"Buchs, Switzerland","May 16, 2013",Wollerau,Wollerau,Europe,Switzerland,Switzerland,"Wollerau, Switzerland",,,,,,,,,,,Individual,,,"IBM Zurich Research Laboratory, Rüschlikon, Switzerland",,,
1979,Physics,The Nobel Prize in Physics,3,"$800,000","$2,988,048","October 15, 1979",received,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1979,115,Steven Weinberg,Steven Weinberg,Steven,Weinberg,Steven Weinberg,,male,http://masterdataapi.nobelprize.org/2/laureate/115,"May 3, 1933","New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,Individual,,,"Harvard University, Cambridge, MA, USA",,,
1978,Physics,The Nobel Prize in Physics,2,"$725,000","$2,898,454","October 17, 1978",received,for their discovery of cosmic microwave background radiation,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1978,111,Arno Penzias,Arno Penzias,Arno,Penzias,Arno Allan Penzias,,male,http://masterdataapi.nobelprize.org/2/laureate/111,"April 26, 1933",Munich,Munich,Europe,Germany,Germany,"Munich, Germany",,,,,,,,,,,,,,,,,,Individual,,,"Bell Laboratories, Holmdel, NJ, USA",,,
1997,Physics,The Nobel Prize in Physics,2,"$7,500,000","$9,572,839","October 15, 1997",received,for development of methods to cool and trap atoms with laser light,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1997,153,Claude Cohen-Tannoudji,Claude Cohen-Tannoudji,Claude,Cohen-Tannoudji,Claude Cohen-Tannoudji,,male,http://masterdataapi.nobelprize.org/2/laureate/153,"April 1, 1933",Constantine,Constantine,Africa,French Algeria,Algeria,"Constantine, French Algeria (now Algeria)",,,,,,,,,,,,,,,,,,Individual,,,"Collège de France, Paris, France","École Normale Supérieure, Paris, France",,
1979,Physics,The Nobel Prize in Physics,1,"$800,000","$2,988,048","October 15, 1979",received,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1979,113,Sheldon Glashow,Sheldon Glashow,Sheldon,Glashow,Sheldon Lee Glashow,,male,http://masterdataapi.nobelprize.org/2/laureate/113,"December 5, 1932","New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,Individual,,,"Harvard University, Lyman Laboratory, Cambridge, MA, USA",,,
